ship	leg	departure	arrival	startx	starty	destinationx	destinationy
0	1	30	31	538	351	746	641
1	1	30	31	538	351	746	641
2	1	30	31	538	351	746	641
3	1	40	41	538	351	1026	556
0	2	62	63	746	641	944	605
1	2	62	63	746	641	944	605
2	2	62	63	746	641	944	605
3	2	69	70	1026	556	937	643
0	3	94	95	944	605	937	643
1	3	94	95	944	605	937	643
2	3	94	95	944	605	937	643
4	1	94	95	944	605	937	643
5	1	109	110	538	351	937	643
0	4	132	133	937	643	538	351
1	4	132	133	937	643	538	351
2	4	132	133	937	643	538	351
3	3	132	133	937	643	538	351
4	2	132	133	937	643	538	351
5	2	132	133	937	643	538	351
0	5	135	136	538	351	746	641
1	5	135	136	538	351	746	641
2	5	135	136	538	351	746	641
4	3	135	136	538	351	746	641
